name,pid,img_files,series,team,range
Candy Cookie,3-006,candy_cookie_3-006.png;candy_cookie_3-015.png,Series 3,Bakery,Shopkins
Cam Camera,FAD-006,cam_camera_FAD-006.png;cam_camera_FS-039.png;cam_camera_FS-045.png,Series 3,Exclusive,Fashion Spree
Kimberly Cap,FGF-005,kimberly_cap_FGF-005.png,Series 4,Exclusive,Fashion Spree
Miss Pressy,4-063,miss_pressy_4-063.png;miss_pressy_4-068.png;miss_pressy_GCC-004.png;miss_pressy_VAL-003.png,Series 4,Party Time,Shopkins
Gran Jam,1-022,gran_jam_1-022.png;gran_jam_1-031.png;gran_jam_SMF-002.png,Series 1,Pantry,Shopkins
Boneadette,4-125,boneadette_4-125.png;boneadette_4-128.png,Series 4,Petkins,Shopkins
Bobby Goggles,FFC-001,bobby_goggles_FFC-001.png,Series 4,Exclusive,Fashion Spree
Jeanie Beanie,FFC-007,jeanie_beanie_FFC-007.png,Series 4,Exclusive,Fashion Spree
Smarty Phone,FA-028,smarty_phone_FA-028.png;smarty_phone_FS-010.png;smarty_phone_FS-031.png,Series 2,Exclusive,Fashion Spree
Lola Roller Blade,5-006,lola_roller_blade_5-006.png;lola_roller_blade_5-014.png,Series 5,Sport,Shopkins
Chrissy Cream,SHP-016,chrissy_cream_SHP-016.png,Series 6,Exclusive,Shopkins
Tina Tuna,1-139,tin'a'tuna_1-139.png,Series 1,Limited Edition,Shopkins
Corny Cob,2-004,corny_cob_2-004.png;corny_cob_2-012.png,Series 2,Fruit and Veg,Shopkins
Lee Tea,2-140,lee_tea_2-140.png,Series 2,Limited Edition,Shopkins
Super Celery,3-074,super_celery_3-074.png;super_celery_3-082.png,Series 3,Fruit and Veg,Shopkins
Bessie Bowl,7-082,bessie_bowl_7-082.png,Series 6,Limited Edition,Shopkins
Madeline Muffin,6-006,madeline_muffin_6-006.png,Series 6,Breakfast,Shopkins
Belinda Blender,7-081,belinda_blender_7-081.png,Series 6,Limited Edition,Shopkins
Polly Piano,5-035,polly_piano_5-035.png;polly_piano_5-043.png,Series 5,Music,Shopkins
Freezy Peazy,1-128,freezy_peazy_1-128.png;freezy_peazy_1-136.png,Series 1,Frozen Food,Shopkins
Tubby Butter,4-096,tubby_butter_4-096.png;tubby_butter_4-099.png,Series 4,Petkins,Shopkins
Secret Sally,3-128,secret_sally_3-128.png;secret_sally_3-136.png;secret_sally_BB-037.png,Series 3,Stationery,Shopkins
Sugar Lump,1-019,sugar_lump_1-019.png;sugar_lump_1-028.png,Series 1,Pantry,Shopkins
Alpha Soup,1-021,alpha_soup_1-021.png;alpha_soup_1-030.png;alpha_soup_SV-001.png,Series 1,Pantry,Shopkins
Flutter Cake,1-038,flutter_cake_1-038.png;flutter_cake_1-045.png;flutter_cake_FF-009.png;flutter_cake_FF-027.png,Series 1,Bakery,Shopkins
Heidi Hibiscus,FTC-001,heidi_hibiscus_FTC-001.png,Series 4,Exclusive,Fashion Spree
Royal Cupcake,5-072,royal_cupcake_5-072.png;royal_cupcake_5-080.png,Series 5,Bakery,Shopkins
Fairy Crumbs,1-088,fairy_crumbs_1-088.png;fairy_crumbs_1-098.png;fairy_crumbs_FF-042.png;fairy_crumbs_FF-048.png,Series 1,Party Food,Shopkins
Lizzy Lace-up,3-039,lizzy_lace-up_3-039.png;lizzy_lace-up_3-047.png;lizzy_lace-up_BB-024.png,Series 3,Shoes,Shopkins
Carrie Backpack,FGF-004,carrie_backpack_FGF-004.png,Series 4,Exclusive,Fashion Spree
Kyla Crepe,SHP-004,kyla_crepe_SHP-004.png,Series 6,Exclusive,Shopkins
Lenny Lime,2-139,lenny_lime_2-139.png,Series 2,Limited Edition,Shopkins
Silly Chilli,2-008,silly_chilli_2-008.png;silly_chilli_2-016.png,Series 2,Fruit and Veg,Shopkins
Dribbles,2-121,dribbles_2-121.png;dribbles_2-129.png,Series 2,Baby,Shopkins
Hot Apple Pie,1-146,hot_apple_pie_1-146.png,Series 1,Exclusive,Shopkins
Frenchy Perfume,4-137,frenchy_perfume_4-137.png,Series 4,Limited Edition,Shopkins
Ring-A-Rosie,3-139,ring-a-rosie_3-139.png,Series 3,Limited Edition,Shopkins
Mindy Mirror,FS-003,mindy_mirror_FS-003.png,Series 3,Exclusive,Fashion Spree
Lisa Litter,2-023,lisa_litter_2-023.png;lisa_litter_2-032.png,Series 2,Homewares,Shopkins
Beverley Heels,3-035,beverley_heels_3-035.png;beverley_heels_3-043.png;beverley_heels_SBB-B.png,Series 3,Shoes,Shopkins
Mary Wishes,4-064,mary_wishes_4-064.png;mary_wishes_4-069.png;mary_wishes_SE_023.png;mary_wishes_SE_024.png,Series 4,Party Time,Shopkins
Lizzy Laptop,5-138,lizzy_laptop_5-138.png;lizzy_laptop_5-146.png,Series 5,Tech,Shopkins
Cheeky Cherries,4-004,cheeky_cherries_4-004.png;cheeky_cherries_4-009.png;cheeky_cherries_SE_005.png;cheeky_cherries_SE_006.png,Series 4,Fruit and Veg,Shopkins
Frogurt,FF-018,frogurt_FF-018.png,Series 3,Cool and Creamy,Food Fair
Will Barrow,4-053,will_barrow_4-053.png;will_barrow_4-059.png,Series 4,Garden,Shopkins
Frilly Tutu,SHP-019,frilly_tutu_SHP-019.png,Series 6,Exclusive,Shopkins
Angie Ankle Boot,2-142,angie_ankle_boot_2-142.png,Series 2,Limited Edition,Shopkins
Hot Chocco,FF-020,hot_chocco_FF-020.png,Series 3,Cupcake,Food Fair
Leafy,2-095,leafy_2-095.png;leafy_2-104.png,Series 2,Cleaning & Laundry,Shopkins
Fasta Pasta,2-071,fasta_pasta_2-071.png;fasta_pasta_2-080.png,Series 2,Pantry,Shopkins
Breaky Crunch,1-020,breaky_crunch_1-020.png;breaky_crunch_1-029.png,Series 1,Pantry,Shopkins
Daisy Donut,SH-003,daisy_donut_SH-003.png,Series 4,Exclusive,Shopkins
Choco Lava,2-040,choco_lava_2-040.png;choco_lava_2-049.png;choco_lava_FF-052.png;choco_lava_FF-058.png;choco_lava_SXL-005.png;choco_lava_SXL-011.png,Series 2,Bakery,Shopkins
Brimmy,3-022,brimmy_3-022.png;brimmy_3-030.png,Series 3,Hats,Shopkins
Strawberry Top,6-005,strawberry_top_6-005.png,Series 6,Breakfast,Shopkins
Choc E. Tubs,6-027,choc_e._tubs_6-027.png,Series 6,Sweets,Shopkins
Croissant dOr,3-089,croissant_d'or_3-089.png;croissant_d'or_3-098.png;croissant_d'or_FF-015.png;croissant_d'or_FF-033.png,Series 3,International Food,Shopkins
Shoes-anne,SSP-005,shoes-anne_SSP-005.png,Series 5,Exclusive,Shopkins
Honeeey,2-073,honeeey_2-073.png;honeeey_2-082.png,Series 2,Pantry,Shopkins
Fancy Fascinator,FSD-000,fancy_fascinator_FSD-000.png,Series 3,Exclusive,Fashion Spree
Ring-A-Ling,FS-001,ring-a-ling_FS-001.png;ring-a-ling_FS-019.png,Series 2,Exclusive,Fashion Spree
Cool cube,1-124,cool_cube_1-124.png;cool_cube_1-132.png,Series 1,Frozen Food,Shopkins
Sandy Shut Eye,FSF-003,sandy_shut_eye_FSF-003.png,Series 4,Exclusive,Fashion Spree
Le'Quorice,1-049,le'quorice_1-049.png;le'quorice_1-058.png;le'quorice_FF-050.png;le'quorice_FF-056.png;le'quorice_SHS-038.png;le'quorice_SHS-044.png,Series 1,Sweet Treats,Shopkins
Ros Berry,6-034,ros_berry_6-034.png,Series 6,Breakfast,Shopkins
Jelly Snake,SHS-036,jelly_snake_SHS-036.png;jelly_snake_SHS-042.png;jelly_snake_SPC-004.png,Series 5,Exclusive,Shopkins
Sippa,1-087,sippa_1-087.png;sippa_1-097.png,Series 1,Party Food,Shopkins
Clutch,FSD-005,clutch_FSD-005.png,Series 3,Exclusive,Fashion Spree
Sprinkle Lee Cake,5-083,sprinkle_lee_cake_5-083.png;sprinkle_lee_cake_5-091.png,Series 5,Sweet Treats,Shopkins
Sadie Soda,FF-005,sadie_soda_FF-005.png,Series 3,Fast Food,Food Fair
Dinky Drink,GCC-005,dinky_drink_GCC-005.png,Series 4,Exclusive,Shopkins
Cheery Churro ,2-059,cheery_churro__2-059.png;cheery_churro__2-067.png,Series 2,Sweet Treats,Shopkins
Choc Chips,6-014,choc_chips_6-014.png,Series 6,Sweets,Shopkins
Cassie Caster Sugar,6-040,cassie_caster_sugar_6-040.png,Series 6,Bakery,Shopkins
Pippa Lemon,6-011,pippa_lemon_6-011.png,Series 6,Breakfast,Shopkins
Snorky,5-008,snorky_5-008.png;snorky_5-016.png,Series 5,Sport,Shopkins
Cherry-Anne,6-046,cherry-anne_6-046.png,Series 6,Sweets,Shopkins
Polly Popcorn,SH_008,polly_popcorn_SH_008.png,Series 4,Exclusive,Shopkins
Molly Mops,2-091,molly_mops_2-091.png;molly_mops_2-100.png,Series 2,Cleaning & Laundry,Shopkins
Shampoo Sue,2-128,shampoo_sue_2-128.png;shampoo_sue_2-136.png,Series 2,Baby,Shopkins
Flappy Cap,3-021,flappy_cap_3-021.png;flappy_cap_3-029.png;flappy_cap_BB-011.png;flappy_cap_SCH-004.png;flappy_cap_SCH-010.png,Series 3,Hats,Shopkins
Posh Pear,1-007,posh_pear_1-007.png;posh_pear_1-014.png,Series 1,Fruit and Veg,Shopkins
Rockin' Choc,5-081,rockin'_choc_5-081.png;rockin'_choc_5-089.png,Series 5,Sweet Treats,Shopkins
Cream E Cookie,3-052,cream_e_cookie_3-052.png;cream_e_cookie_3-061.png;cream_e_cookie_FF-039.png;cream_e_cookie_FF-045.png,Series 3,Sweet Treats,Shopkins
Chocky Croissant,5-087,chocky_croissant_5-087.png;chocky_croissant_5-095.png,Series 5,Sweet Treats,Shopkins
Swiss Roll,FF-024,swiss_roll_FF-024.png,Series 3,Cupcake,Food Fair
Judy Jug,7-086,judy_jug_7-086.png,Series 6,Limited Edition,Shopkins
Toast T. Warm,6-031,toast_t._warm_6-031.png,Series 6,Breakfast,Shopkins
Kelly Calculator,3-126,kelly_calculator_3-126.png;kelly_calculator_3-134.png,Series 3,Stationery,Shopkins
Sam Soy,6-017,sam_soy_6-017.png,Series 6,Family Food,Shopkins
Teary Onion,6-024,teary_onion_6-024.png,Series 6,Family Food,Shopkins
Snow Crush,1-126,snow_crush_1-126.png;snow_crush_1-134.png,Series 1,Frozen Food,Shopkins
Bailey Baseball Glove,5-004,bailey_baseball_glove_5-004.png;bailey_baseball_glove_5-012.png,Series 5,Sport,Shopkins
Sponge Cake,1-150,sponge_cake_1-150.png,Series 1,Exclusive,Shopkins
